Road Type,Speed Limit,Lanes,Coordinates
service,Unknown,Unknown,"[65294714, 7231544095, 1578935508, 65294716]"
tertiary,Unknown,Unknown,"[1723768769, 4019009282, 5318541597, 65295275]"
residential,Unknown,Unknown,"[371251238, 7231708998, 65296029, 7231708997, 359084771]"
footway,Unknown,Unknown,"[65296934, 65296937]"
residential,Unknown,Unknown,"[65296947, 4734121543, 7231541026, 65296948]"
residential,25 mph,1,"[612027352, 612027356, 1594246436, 612027357, 612027358]"
service,Unknown,Unknown,"[65297524, 7233579618, 65297527]"
service,Unknown,Unknown,"[65297537, 7233777889, 65297539]"
residential,Unknown,2,"[4045442949, 65297808]"
residential,Unknown,Unknown,"[65297954, 12144465852, 6639198518]"
service,Unknown,Unknown,"[65297969, 6328181167, 5426326070, 5426326068, 65297967]"
service,Unknown,Unknown,"[65297976, 65297978, 65297982]"
service,Unknown,Unknown,"[65298864, 65298869, 65298874]"
residential,Unknown,Unknown,"[65299058, 6391747716, 65299062]"
